t,segment,command,right_stick_x,right_stick_y,sample,alarm,j0,j1,j2,j3,j4,j5,x,y,z,a,b,c,target_x,target_y,target_z,target_a,target_b,target_c,joint_delta_norm_deg,joint_delta_max_deg,tcp_drift_norm_mm,tcp_drift_x_mm,tcp_drift_y_mm,tcp_drift_z_mm,q_speed_norm_deg_s,tcp_speed_norm_mm_s
2.0980835e-05,baseline_fixed_tcp,center,0,0,0,0,55.041504,32.958984,-138.647461,58.623047,97.844238,13.183594,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0,0,0,0,0,0,,
0.0291161537,baseline_fixed_tcp,center,0,0,1,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0380577751,0.021973,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,1.3080443,1.59893467
0.0542290211,baseline_fixed_tcp,center,0,0,2,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.139648,222.772992,230.688755,154.67051,126.359028,-2.75110427,125.27402,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0538222299,0.043946,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,0.874969779,0
0.0794658661,baseline_fixed_tcp,center,0,0,3,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0380577751,0.021973,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,0.870671432,0
0.105995655,baseline_fixed_tcp,center,0,0,4,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0380577751,0.021973,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,0,0
0.131089211,baseline_fixed_tcp,center,0,0,5,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0380577751,0.021973,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,0,0
0.156196117,baseline_fixed_tcp,center,0,0,6,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0380577751,0.021973,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,0,0
0.181283951,baseline_fixed_tcp,center,0,0,7,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0538214134,0.043945,0.085184714,-0.0656774453,0.0475928459,-0.0260351628,0.87580301,1.67917805
0.206367254,baseline_fixed_tcp,center,0,0,8,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0538214134,0.043945,0.085184714,-0.0656774453,0.0475928459,-0.0260351628,0,0
0.231448412,baseline_fixed_tcp,center,0,0,9,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.806063,230.667821,154.695656,126.340457,-2.81349285,125.315398,0.0380577751,0.021973,0.0465212805,-0.0330710951,0.0209336239,-0.0251458864,0.876036117,1.67962499
