t,segment,command,right_stick_x,right_stick_y,sample,alarm,j0,j1,j2,j3,j4,j5,x,y,z,a,b,c,target_x,target_y,target_z,target_a,target_b,target_c,joint_delta_norm_deg,joint_delta_max_deg,tcp_drift_norm_mm,tcp_drift_x_mm,tcp_drift_y_mm,tcp_drift_z_mm,q_speed_norm_deg_s,tcp_speed_norm_mm_s
3.9100647e-05,baseline_fixed_tcp,center,0,0,0,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.021972,0.021972,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,,
0.0252604485,baseline_fixed_tcp,center,0,0,1,0,55.041504,32.958984,-138.647461,58.601074,97.844238,13.161621,222.773465,230.694492,154.694763,126.348144,-2.76955825,125.311132,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.021973,0.021973,0,0,0,0,1.23204389,0.98830734
0.0503797531,baseline_fixed_tcp,center,0,0,2,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.021972,0.021972,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,1.23704887,0.99232218
0.0755183697,baseline_fixed_tcp,center,0,0,3,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380577751,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,1.23612668,1.67586217
0.101471901,baseline_fixed_tcp,center,0,0,4,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.183594,222.80559,230.662082,154.671404,126.361489,-2.81951164,125.289483,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,0.846628529,0
0.126788378,baseline_fixed_tcp,center,0,0,5,0,55.063477,32.958984,-138.647461,58.601074,97.822266,13.161621,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380577751,0.021973,0.121863246,-0.0889589179,0.0796792135,-0.0242525149,1.50330367,6.51761939
0.151993752,baseline_fixed_tcp,center,0,0,6,0,55.041504,32.958984,-138.647461,58.601074,97.844238,13.161621,222.773465,230.694492,154.694763,126.348144,-2.76955825,125.311132,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.021973,0.021973,0,0,0,0,1.23282471,4.83481208
0.177234173,baseline_fixed_tcp,center,0,0,7,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380571977,0.021973,0.0465196577,-0.0330794749,0.0209216928,-0.0251417913,1.23108486,1.84306186
0.202348471,baseline_fixed_tcp,center,0,0,8,0,55.041504,32.958984,-138.647461,58.601074,97.844238,13.161621,222.773465,230.694492,154.694763,126.348144,-2.76955825,125.311132,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.021973,0.021973,0,0,0,0,1.23726734,1.85231767
0.227517366,baseline_fixed_tcp,center,0,0,9,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,0.872982281,0.990366977
0.255146027,baseline_fixed_tcp,center,0,0,10,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.183594,222.80559,230.662082,154.671404,126.361489,-2.81951164,125.289483,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,1.12472029,1.52482445
0.287236691,baseline_fixed_tcp,center,0,0,11,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.139648,222.80559,230.662082,154.671404,126.341203,-2.7705833,125.267087,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0538222299,0.043946,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,1.36943256,0
0.312387228,baseline_fixed_tcp,center,0,0,12,0,55.041504,32.958984,-138.647461,58.601074,97.844238,13.183594,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0,0,0,0,0,0,2.14000317,2.03830377
0.337503195,baseline_fixed_tcp,center,0,0,13,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.183594,222.80559,230.662082,154.671404,126.361489,-2.81951164,125.289483,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,1.23721327,2.04110938
0.366050482,baseline_fixed_tcp,center,0,0,14,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380577751,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,0.769705367,0
0.391177654,baseline_fixed_tcp,center,0,0,15,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,0.874471651,1.67662543
0.416307211,baseline_fixed_tcp,center,0,0,16,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380577751,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,0.874388685,1.67646636
0.441431046,baseline_fixed_tcp,center,0,0,17,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380577751,0.021973,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,0,0
0.466549397,baseline_fixed_tcp,center,0,0,18,0,55.063477,32.958984,-138.647461,58.601074,97.822266,13.161621,222.684506,230.774171,154.67051,126.38039,-2.75156937,125.296408,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380577751,0.021973,0.121863246,-0.0889589179,0.0796792135,-0.0242525149,1.23712399,6.56902837
0.491740227,baseline_fixed_tcp,center,0,0,19,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.161621,222.740385,230.715414,154.669621,126.387007,-2.7560881,125.292141,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0380571977,0.021973,0.0465196577,-0.0330794749,0.0209216928,-0.0251417913,1.23353646,3.21906792
0.516965151,baseline_fixed_tcp,center,0,0,20,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,0.871043256,1.67005217
0.544710636,baseline_fixed_tcp,center,0,0,21,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.139648,222.80559,230.662082,154.671404,126.341203,-2.7705833,125.267087,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0538222299,0.043946,0.0512644354,0.0321247883,-0.0324099488,-0.0233588427,1.11998454,1.51840402
0.569925308,baseline_fixed_tcp,center,0,0,22,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,1.23239813,1.67080723
0.595130444,baseline_fixed_tcp,center,0,0,23,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.773465,230.694492,154.694763,126.358293,-2.79402175,125.322328,0.0310738075,0.021973,0.0249264432,-0.000473124702,-0.00573752926,-0.0242525149,0,0
