t,segment,command,right_stick_x,right_stick_y,sample,alarm,j0,j1,j2,j3,j4,j5,x,y,z,a,b,c,target_x,target_y,target_z,target_a,target_b,target_c,joint_delta_norm_deg,joint_delta_max_deg,tcp_drift_norm_mm,tcp_drift_x_mm,tcp_drift_y_mm,tcp_drift_z_mm,q_speed_norm_deg_s,tcp_speed_norm_mm_s
9.77516174e-06,baseline_fixed_tcp,center,0,0,0,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0,0,0,0,0,0,,
0.0251324177,baseline_fixed_tcp,center,0,0,1,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.183594,222.772992,230.688755,154.67051,126.379325,-2.8000362,125.296408,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.021973,0.021973,0,0,0,0,0.87462933,0
0.0502302647,baseline_fixed_tcp,center,0,0,2,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.183594,222.80559,230.662082,154.671404,126.361489,-2.81951164,125.289483,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.0310745146,0.021973,0.0421288565,0.032597913,-0.0266724196,0.000893672202,0.875493424,1.67858448
0.0840904713,baseline_fixed_tcp,center,0,0,3,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0,0,0,0,0,0,0.917729622,1.24419963
0.109169483,baseline_fixed_tcp,center,0,0,4,0,55.041504,32.958984,-138.669434,58.623047,97.822266,13.183594,222.76393,230.602494,154.648214,126.365789,-2.79927665,125.267152,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.0380583524,0.021973,0.0895554714,-0.00906214622,-0.0862609737,-0.0222958379,1.51753795,3.57093301
0.134283781,baseline_fixed_tcp,center,0,0,5,0,55.041504,32.958984,-138.647461,58.579102,97.822266,13.183594,222.740385,230.715414,154.669621,126.397161,-2.78055789,125.303331,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.0310738075,0.021973,0.0421269392,-0.0326063502,0.026659222,-0.000889276407,1.95634485,4.67136766
0.159368515,baseline_fixed_tcp,center,0,0,6,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0,0,0,0,0,0,1.23875372,1.67938553
0.184464216,baseline_fixed_tcp,center,0,0,7,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.183594,222.80559,230.662082,154.671404,126.361489,-2.81951164,125.289483,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.0310745146,0.021973,0.0421288565,0.032597913,-0.0266724196,0.000893672202,1.23824054,1.67872801
0.209573507,baseline_fixed_tcp,center,0,0,8,0,55.041504,32.958984,-138.647461,58.623047,97.822266,13.161621,222.80559,230.662082,154.671404,126.351347,-2.79504545,125.278286,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0.021973,0.021973,0.0421288565,0.032597913,-0.0266724196,0.000893672202,0.8750944,0
0.237755299,baseline_fixed_tcp,center,0,0,9,0,55.041504,32.958984,-138.647461,58.601074,97.822266,13.161621,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,222.772992,230.688755,154.67051,126.369178,-2.77556821,125.285215,0,0,0,0,0,0,0.77968784,1.49489633
